history_size_K,mean_ap,std_ap,mean_latency_ms,storage_kilobytes,storage_type
1,0.7963257988380537,0.04393332518828524,0.12505054473876953,2.74658203125,Non-Parametric Graph Snapshot Store
2,0.7831383689839572,0.06388049675554076,0.1169443130493164,5.4931640625,Non-Parametric Graph Snapshot Store
4,0.7747208605664488,0.0774532650459231,0.1157522201538086,10.986328125,Non-Parametric Graph Snapshot Store
8,0.7793504901960785,0.06993810919926226,0.12481212615966797,21.97265625,Non-Parametric Graph Snapshot Store
