sim_threshold_tau,num_episodes_found,mean_retrieval_ap,window_size_days,step_days
0.45,12,0.7802172735825171,14,7
0.5,9,0.7757571202227703,14,7
0.55,4,0.7963257988380537,14,7
0.6,4,0.7963257988380537,14,7
0.65,4,0.7963257988380537,14,7
0.7,2,0.7547839506172839,14,7
0.75,1,0.775,14,7
