corruption_p,seed,ap
0.0,42,0.9405249985314753
0.1,42,0.9182487207086774
0.25,42,0.8980680691488354
0.5,42,0.8932209606721154
0.75,42,0.9149288020052665
1.0,42,0.9537989118588335
0.0,43,0.9471979179970302
0.1,43,0.919652400072199
0.25,43,0.895754811018301
0.5,43,0.8917684562573734
0.75,43,0.9158769205391678
1.0,43,0.9538359813730505
0.0,44,0.9401279897451886
0.1,44,0.9187701135290196
0.25,44,0.8912143317224611
0.5,44,0.8903205498540137
0.75,44,0.9168597364673736
1.0,44,0.952648191823161
0.0,45,0.9405928558980597
0.1,45,0.9150229094108938
0.25,45,0.8982120031465026
0.5,45,0.8899713361246869
0.75,45,0.9137949178306428
1.0,45,0.9521319661706725
0.0,46,0.9417180450684988
0.1,46,0.9150135363109466
0.25,46,0.8986782140206817
0.5,46,0.8887176822667935
0.75,46,0.9182943391755126
1.0,46,0.950052961772975
