partition_pair,seed,current_only_ap,historical_oracle_ap,tgn_ap
Pair_1,42,1.0,1.0,0.6413633457024795
Pair_1,43,1.0,1.0,0.6564952627799572
Pair_1,44,1.0,1.0,0.6543617179997797
Pair_1,45,0.9999999999999999,1.0,0.655226064456748
Pair_1,46,1.0,1.0,0.6510740543158979
Pair_2,42,0.9999999999999999,1.0,0.6597794272547403
Pair_2,43,0.9999999999999999,1.0,0.6496825305438361
Pair_2,44,1.0,1.0,0.651895467815899
Pair_2,45,0.9999999999999999,1.0,0.6498394784312864
Pair_2,46,1.0,1.0,0.6561341204207503
Pair_3,42,1.0000000000000002,1.0,0.6608670037673964
Pair_3,43,0.9999999999999998,1.0,0.6537456970896653
Pair_3,44,1.0,1.0,0.6540902880757438
Pair_3,45,0.9999999999999999,1.0,0.6477762617471685
Pair_3,46,1.0000000000000002,0.9999999999999999,0.6516736913015106
Pair_4,42,1.0000000000000002,1.0,0.6564592132955416
Pair_4,43,1.0,1.0,0.6443581581399569
Pair_4,44,1.0,1.0,0.6508149972752636
Pair_4,45,1.0,1.0,0.6554864324755705
Pair_4,46,0.9999999999999999,1.0,0.6518871267599079
Pair_5,42,1.0,1.0,0.6473812984536883
Pair_5,43,1.0,1.0,0.648989095193945
Pair_5,44,1.0,1.0,0.6371743040539071
Pair_5,45,1.0,1.0,0.6373924971071603
Pair_5,46,1.0,1.0,0.6380274919725167
