condition,model,T_B,seed,AP,AUC,recovery_latency,memory_norm,memory_similarity_to_A,memory_similarity_to_B
tb_scaling_50,TGN,50,51,0.649663475382174,0.6805363023470322,0,1.0,0.9999896883964539,1.0
tb_scaling_100,TGN,100,42,0.5900266674110508,0.6157730362635865,1,1.0,0.9999966621398926,1.0
tb_scaling_100,TGN,100,43,0.5312508650858677,0.5718855666812618,100,1.0,0.9999963641166687,1.0
tb_scaling_100,TGN,100,44,0.5676104256785416,0.5875450617614548,100,1.0,0.9999802708625793,1.0
tb_scaling_100,TGN,100,45,0.5105965825348137,0.5109816042405622,100,1.0,0.9999956488609314,1.0
tb_scaling_100,TGN,100,46,0.4987828095988447,0.5024379416848037,100,1.0,0.9999929666519165,1.0
tb_scaling_100,TGN,100,47,0.566764087469126,0.5799413756741186,100,1.0,0.9999959468841553,1.0
tb_scaling_100,TGN,100,48,0.49962095039792886,0.49714463004716963,100,1.0,0.999996542930603,1.0
tb_scaling_100,TGN,100,49,0.5538844133423766,0.5535768154882634,100,1.0,0.9999987483024597,1.0
tb_scaling_100,TGN,100,50,0.5107512456146606,0.5117619054709246,100,1.0,0.9999971389770508,1.0
tb_scaling_100,TGN,100,51,0.5331419324323836,0.5555566951557178,100,1.0,0.999985933303833,1.0
tb_scaling_200,TGN,200,42,0.5034103885760954,0.5059712754366613,100,1.0,0.9999935030937195,1.0
tb_scaling_200,TGN,200,43,0.5075649500648808,0.5071951062469553,100,1.0,0.9999517202377319,1.0
tb_scaling_200,TGN,200,44,0.505301642258843,0.505377529737533,100,1.0,0.9999223351478577,1.0
tb_scaling_200,TGN,200,45,0.5037568365551702,0.5039553262093628,100,1.0,0.9999822974205017,1.0
tb_scaling_200,TGN,200,46,0.504017262188134,0.503493393379503,100,1.0,0.999990701675415,1.0
tb_scaling_200,TGN,200,47,0.5018809305935596,0.5025091679615168,100,1.0,0.9999828934669495,1.0
tb_scaling_200,TGN,200,48,0.5069592265550136,0.5081384882954258,100,1.0,0.9999950528144836,1.0
tb_scaling_200,TGN,200,49,0.5030352204833993,0.5042616258614547,100,1.0,0.9999895691871643,1.0
tb_scaling_200,TGN,200,50,0.5038739324704025,0.5037090238884748,100,1.0,0.9999834299087524,1.0
tb_scaling_200,TGN,200,51,0.5108653773560502,0.5116144148135797,100,1.0,0.999978244304657,1.0
