Method,TB_25_mean,TB_25_std,TB_50_mean,TB_50_std,TB_100_mean,TB_100_std,TB_200_mean,TB_200_std
Historical Oracle,0.7880495860728373,0.0007570765136862288,0.787919113530325,0.0007233152053392482,0.7875738299758351,0.0007236089160353624,0.787522127317549,0.0010634155360067367
Current-Only,0.760526668533411,0.0011050118619158197,0.7605190662439284,0.0008275374183468614,0.7600217714274825,0.0008919223667504317,0.7599427799878009,0.001139531063460329
EdgeBank Bounded A,0.7392183373219711,0.0007349891174085823,0.7391883829007567,0.0007935680795936194,0.7390282560501124,0.0006574696038617465,0.7390023881545524,0.0012074504777012034
EdgeBank All-History,0.7370485620587124,0.0007657011332711191,0.7367119521169603,0.000876390248628519,0.7362152139758699,0.0006240636375709472,0.7363118424943071,0.0011069576748844198
Historical Retrieval Probe,0.7591395267025965,0.0007863477062391032,0.7590042482498739,0.000992960041799646,0.7588236088819901,0.001055916655520324,0.7584208540085815,0.0009502760800602828
Random Retrieval,0.7423246770335752,0.0012986918617838557,0.732789629702739,0.0009755832956311536,0.7273109603249733,0.0013643590491577925,0.7193385023043234,0.0009957229068636292
Continuous TGN,0.6527974438166023,0.001184667010360257,0.6522459003015056,0.0012740692921067644,0.6523175926068486,0.000689548511885287,0.6521472372775227,0.0014438515364863487
TGN-NoMemory,0.6526621230538375,0.0011805875027245736,0.6522997817298396,0.0008923178668306901,0.6518376752007123,0.0008983939946641649,0.6517184790085289,0.0016044751430130447
MA-TGN (Proposed),0.652736223480274,0.0010614703796754956,0.6521804504341441,0.0007830738337074325,0.6521855006945472,0.0005610306865168041,0.6519164337160035,0.0013783951672838887
