K_Checkpoints,AP_mean,AP_std,AUC_mean,Onset_AP,Memory_KB,Stored_Vectors,Latency_us
1,0.6519344022878301,0.0009203081637462024,0.6843289531399938,0.6339427706718859,150.25,601,0.9642080053876108
2,0.6518139896090166,0.001333985718373574,0.6839984456886572,0.6334703980901161,225.5,902,1.2069602774959844
4,0.6517634383941503,0.0008791584564656356,0.6839643058403434,0.630858181526705,376.0,1504,1.5422555041128896
8,0.652183187641919,0.0007214816662693797,0.6841204273823338,0.63557822673102,677.0,2708,3.427018390051097
16,0.6522971140202471,0.0007222309672746769,0.6842804247924581,0.634110689335708,1279.0,5116,4.733837020212586
32,0.6521181423526984,0.0010290381735276412,0.6842939847403713,0.634275026100273,2483.0,9932,8.657351643984047
