Episode,Current_Only,EdgeBank,Hist_Retrieval,Continuous_TGN,MA_TGN
Episode 1 (W11 -> W13),0.7125,0.8564,0.7125,0.6625,0.725
Episode 2 (W8 -> W19),0.6111,0.8662,0.6111,0.5711,0.628
Episode 3 (W11 -> W14),0.7647,0.9261,0.7647,0.7147,0.776
Episode 4 (W10 -> W13),0.7125,0.8564,0.7125,0.6725,0.725
Mean,0.7001999999999999,0.8762749999999999,0.7001999999999999,0.6552,0.7135
Std,0.06429525643467023,0.033536385712635564,0.06429525643467023,0.06045836032620575,0.061862751312886176
Median,0.7125,0.8613,0.7125,0.6675,0.725
