Regime_Phase,Regime_A_Mass_Pct,Regime_A_Mass_Std,Regime_B_Mass_Pct,Attention_Entropy,Top1_Checkpoint_Prob,Mean_Gate_Weight
Initial Regime A,100.0,0.0,0.0,1.9085360765457153,0.15190477669239044,0.8064755878448486
Distractor Regime B,63.26056671142578,7.842885494232178,36.73943328857422,2.6627140045166016,0.07028952240943909,0.8064456482402614
Recurrence Onset,45.39474105834961,0.8826596736907959,50.438602447509766,2.9871840476989746,0.050438594073057175,0.8066806097825369
Recurrence Steady-State,39.031620025634766,1.2912219762802124,43.36846160888672,3.138568162918091,0.043368466198444366,0.8064801981051762
