Condition,Edge_Jaccard,Historical_Oracle,Current_Only,EdgeBank_Bounded,EdgeBank_All,Hist_Retrieval,Continuous_TGN,MA_TGN,MATGN_minus_TGN,Ret_minus_EdgeBank
Condition A (Exact Recurrence),0.6554297284511037,0.9096665468935349,0.8975046972419115,0.8826775105725453,0.8884394707531689,0.8971493555448907,0.648359919683051,0.6480465748313896,-0.00031334485166134574,0.008709884791721856
Condition B (Structural Recurrence),0.9378607624127848,0.6577514315803046,0.6192828844591013,0.5786880269056728,0.5773812738936448,0.6124668125407277,0.6526957704602222,0.6524166655261889,-0.00027910493403326964,0.03508553864708286
Control (A -> B -> C),0.8839539954773679,0.6869362829393764,0.7169280944175622,0.68355768793725,0.6871572530271143,0.7100673307122517,0.4990400839849739,0.49949953939945335,0.00045945541447944827,0.02291007768513742
