k_A_Steps,Continuous_TGN_AP,Hist_Retrieval_AP,MA_TGN_AP,TGN_Recovery_Deficit
0,0.6499532073252282,0.756084127369312,0.6504294087604146,0.00047620143518634084
1,0.6512294884166596,0.7571546464479375,0.6517048570280972,0.0004753686114375988
5,0.6524455385505981,0.7578210006371879,0.6526371375630623,0.0001915990124642386
10,0.6534011418239526,0.758353736911694,0.6532988891783582,-0.00010225264559438063
25,0.6519761393438641,0.7565966082389571,0.6517631242946418,-0.0002130150492223315
40,0.6545767769870589,0.7569258727846864,0.6532755558474508,-0.0013012211396080664
