tb,seed,oracle_ap,current_ap,edgebank_b_ap,edgebank_a_ap,retrieval_ap,tgn_ap,nomem_ap,matgn_ap,matgn_auc,matgn_onset_ap,matgn_steady_ap,matgn_attn_a,matgn_attn_b,matgn_gate
25,42,0.7888533767905168,0.761679653605313,0.7397320265541469,0.7374839402646682,0.7597666660357782,0.6532133533778781,0.6529487045832884,0.6527848260299931,0.6849163122421857,0.636300852242575,0.6513356650267262,0.6339772343635559,0.2113257646560669,0.8278279596445511
25,43,0.7891468490666833,0.7614648560187476,0.7400523604743143,0.7377107231416011,0.7595154845481928,0.6517121479557003,0.651232947244556,0.6525640346220747,0.6847029872008235,0.640047485808989,0.6526745326064198,0.6339771747589111,0.2113257199525833,0.6910026681666471
25,44,0.7883066275126689,0.7613148046427701,0.7394252177781175,0.7372420241881018,0.7591284088518038,0.6514447627044622,0.6506144010230228,0.6505622379418418,0.6835083160568406,0.6413266256309098,0.649738937063995,0.6339772343635559,0.2113257646560669,0.8580360290955524
25,45,0.7883137361998491,0.7606847441088151,0.739445320646043,0.7374739772678076,0.7597444040856667,0.6529582744394631,0.6546008272753969,0.6536863292894637,0.6865738747460324,0.6361308194463761,0.6530612052022933,0.6339772343635559,0.2113257497549057,0.7649119642316079
25,46,0.7873062789729244,0.7582904777500288,0.7375100114462514,0.7351899010578486,0.7580648749961008,0.6531415448286764,0.6525115132368495,0.6519603555218417,0.6839116743624281,0.6278351453129979,0.6524218855299804,0.6339772343635559,0.2113257497549057,0.8868952758458196
25,47,0.7877077557038252,0.7594492783980998,0.738625474678116,0.7367387716458423,0.7585954198687312,0.6549200449151027,0.6537307948168012,0.6542425063149115,0.6863772228476074,0.6289158544010146,0.6543510753178023,0.6339772343635559,0.2113257497549057,0.8534359433213059
25,48,0.7882098265320772,0.7618110169402403,0.7399021614719974,0.7374535503182005,0.7604243741577892,0.6547178666460699,0.6539218777791276,0.6541464153310829,0.6864669156623388,0.6449070209131536,0.6535579853474213,0.6339772343635559,0.2113257646560669,0.6833311209873277
25,49,0.7866008763620196,0.7594544560956797,0.7385345657943014,0.7361448215814954,0.7582158088734448,0.6514673917109519,0.6516232601628802,0.6518736494636763,0.6838776023504269,0.6266641038262143,0.653792423275552,0.6339772343635559,0.2113257646560669,0.7425529981146053
25,50,0.7887147463647617,0.7610015501316627,0.7395425543223013,0.737652823627498,0.7597668522479911,0.6520730674929784,0.6528283380570976,0.6527836629202659,0.6848965443907222,0.6333341528483805,0.6549613313983966,0.6339772343635559,0.2113257646560669,0.9997001338978203
25,51,0.7873357872230466,0.7601158476427513,0.7394136800541218,0.73739508749406,0.7581729733604657,0.6523259840947391,0.6526085663593546,0.6527582173675888,0.683921436038844,0.628315753371762,0.6528719896507236,0.6339772343635559,0.2113257646560669,0.8135255052118885
50,42,0.7885675936823366,0.7612817691560342,0.7401253355074418,0.7376932590076163,0.7604989112554706,0.6519091626731124,0.6518102159672781,0.6519674067824983,0.6838634969080124,0.625429386918541,0.6546852909315316,0.5377846956253052,0.2987692356109619,0.8275918729451238
50,43,0.7878455595716474,0.7612587362503446,0.7396174316131359,0.7372335771217605,0.7589415170634615,0.6500950270266785,0.6506347825132215,0.6521644461278435,0.684029072559191,0.6427419176593199,0.6509774079771384,0.5377846956253052,0.2987692654132843,0.6912381393568856
50,44,0.7888540070697669,0.7611300100981448,0.7400569188813741,0.737636452175275,0.7604326306520239,0.6513679932357064,0.6522153629897869,0.6517405286836058,0.684021228188785,0.6353682779163721,0.6533405825025432,0.5377846360206604,0.2987692654132843,0.8575587710555719
50,45,0.7869184061655858,0.7598118337698638,0.7375651987212883,0.7348755225444876,0.7573900505395392,0.6505032242470449,0.65194409871909,0.6502527076321009,0.6837023818212904,0.628136329507552,0.6486763553252475,0.5377846956253052,0.2987692356109619,0.7644888649181444
50,46,0.7885334905725228,0.7593180666889301,0.7399249744072156,0.7373185131219904,0.758816884217717,0.6527592965550197,0.6521113475201556,0.6522587516181402,0.6840393530561097,0.6340595389813342,0.6535790148182916,0.5377846956253052,0.2987692356109619,0.8866821770765343
50,47,0.7866970400570765,0.7594201774207943,0.7384583281713826,0.7359415373448972,0.7577429113255981,0.6534513136843243,0.6524521246824996,0.6530841608013991,0.6845954754877855,0.6419185628091267,0.6537639391692991,0.5377846956253052,0.2987692356109619,0.853879493110034
50,48,0.7875381268559525,0.7604149780398113,0.7383366288833692,0.7358268765140457,0.759012068573351,0.6541358293446458,0.6535739832691009,0.6527607298532697,0.6845998758749968,0.6382600368240291,0.6527453769598959,0.5377846956253052,0.2987692654132843,0.6831463575363159
50,49,0.787481198912509,0.7605143265351929,0.7392316214009824,0.7363463839883051,0.7583293078184246,0.6520013866171614,0.6515738747182738,0.6523324840982796,0.6841969607020258,0.6318847516296324,0.6523427457138528,0.5377846956253052,0.2987692654132843,0.7427843091439228
50,50,0.7887662751437268,0.7619375723294183,0.7391710283643844,0.7371442268483752,0.759947017027381,0.653756753752444,0.6538096307827184,0.6531715138899283,0.6849048919918327,0.6421732783966622,0.6514124622465701,0.5377846956253052,0.2987692356109619,0.9996975818458869
