Model Variant,AP_mean,AP_std,AUC_mean,Onset_AP,Steady_AP,Latency_us,Train_Time_s,Param_Count
Model A (Continuous TGN),0.6519256756730298,0.00047627801165726305,0.6843083796064572,0.6337628638078777,0.6526360584140801,0.25410134097536446,40.05348324775696,131138
Model B (TGN + Episodic Memory),0.6519874377634572,0.001057075374764999,0.6841122759432512,0.6324736257618736,0.652616553943011,0.8784106083816667,43.900588798522946,131138
Model C (TGN + Learned Retrieval),0.6517908504322969,0.0009503292850616556,0.6840679489606193,0.6353438227372368,0.6523114703666673,4.413981503127598,70.85373196601867,131138
Model D (Full MA-TGN),0.6518634830296746,0.0009340752611297443,0.6841454342510643,0.6337451411462391,0.6522638613010335,4.788561386930538,79.87564640045166,131138
Model E (MA-TGN w/o Recurrent Memory),0.6515195403732819,0.0007264404321953143,0.6841432369534381,0.6360029032148604,0.6519559928649495,4.811460772413306,48.65103645324707,131138
Model F (MA-TGN w/ Random Retrieval),0.6522337267050743,0.0008776004428420657,0.6843138249448566,0.6338552672474275,0.652545817959665,1.1688613665822314,50.32828159332276,131138
Model G (MA-TGN w/ Shuffled Keys),0.6521395384290948,0.0011060252262477975,0.6843189670307732,0.6331225633360177,0.6527511006581987,5.524640654675755,91.58683495521545,131138
