Addressing_Mechanism,Test_AP_mean,Test_AP_std,Onset_AP,Steady_State_AP
Learned Attention Retrieval,0.6518634830296746,0.0009340752611297443,0.6337451411462391,0.6522638613010335
Cosine Similarity Key Retrieval,0.6519315947657047,0.0007350202477353382,0.6346390069444077,0.6524989260370743
Random Checkpoint Retrieval,0.6522337267050743,0.0008776004428420657,0.6338552672474275,0.652545817959665
Most Recent Checkpoint Retrieval,0.651849641877736,0.000728148242600979,0.6336487759265761,0.6524217208756504
