dataset,condition,method,mean_AP,std_AP,mean_delta_vs_current,mean_delta_vs_tgn,n
Synthetic_Hard_Benchmark,T_B=25,Current_Only,0.7636110091152662,0.0007307288567737264,0.0,0.16943754255213048,10
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,0.7402685500806033,0.0006227437017125439,-0.023342459034662887,0.1460950835174676,10
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,0.7422666423126177,0.000588857672400546,-0.02134436680264854,0.14809317574948194,10
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,0.7904020895122246,0.0006012872346273945,0.026791080396958312,0.19622862294908877,10
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,0.7420554729931519,0.0029031340579131317,-0.021555536122114295,0.1478820064300162,10
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,0.7406431151338225,0.0007926446960720868,-0.022967893981443742,0.14646964857068673,10
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,0.584211049558084,0.06319402479719968,-0.1793999595571822,-0.009962417005051705,10
Synthetic_Hard_Benchmark,T_B=50,Continuous_TGN,0.5419840344863551,0.035543515002042295,-0.22159802365438425,0.0,10
Synthetic_Hard_Benchmark,T_B=50,Current_Only,0.7635820581407394,0.0006945754588659731,0.0,0.22159802365438425,10
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_AllHistory,0.7399445609861641,0.0006394502505890784,-0.02363749715457527,0.19796052649980894,10
Synthetic_Hard_Benchmark,T_B=50,EdgeBank_Bounded,0.7423647310140107,0.0006095541582261474,-0.021217327126728726,0.20038069652765547,10
Synthetic_Hard_Benchmark,T_B=50,Historical_Oracle,0.790369704729662,0.0006217873986024074,0.02678764658892252,0.24838567024330677,10
Synthetic_Hard_Benchmark,T_B=50,Historical_Retrieval,0.7354733827179059,0.004469939092407026,-0.028108675422833518,0.19348934823155067,10
Synthetic_Hard_Benchmark,T_B=50,Random_Retrieval,0.7352001043358347,0.0008744427513581979,-0.028381953804904637,0.1932160698494796,10
Synthetic_Hard_Benchmark,T_B=50,TGN_NoMemory,0.6074860753689381,0.055742295740288564,-0.15609598277180128,0.06550204088258292,10
