dataset,condition,method,memory_type,history_window,T_B,seed_or_episode,AP,AUC,delta_vs_current,delta_vs_tgn
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,46,0.7622846456426341,0.7513197099548014,0.0,0.2598979052145344
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,46,0.5023867404280997,0.5026001663708121,-0.2598979052145344,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,46,0.608535940248531,0.6291437693946169,-0.15374870539410312,0.10614919982043125
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,46,0.7351999237559523,0.7422001200779482,-0.027084721886681762,0.2328131833278526
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,46,0.7396684853220741,0.7069421688069913,-0.02261616032056002,0.23728174489397436
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,46,0.7417591423966146,0.7116577856951953,-0.02052550324601954,0.23937240196851484
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,46,0.7401827182391983,0.7479478277597148,-0.02210192740343575,0.23779597781109862
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,46,0.7905202437372911,0.7876600318340525,0.028235598094657033,0.2881335033091914
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,47,0.7627909454543687,0.7506992470534718,0.0,0.1103497469414394
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,47,0.6524411985129293,0.6838503416417608,-0.1103497469414394,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,47,0.503330439586528,0.5045357520380258,-0.25946050586784064,-0.14911075892640124
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,47,0.7436626245198394,0.7516649279285094,-0.019128320934529208,0.09122142600691019
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,47,0.7394931211630986,0.7074335269845741,-0.02329782429127003,0.08705192265016937
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,47,0.7414018490021002,0.7113191005496301,-0.021389096452268497,0.0889606504891709
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,47,0.7394260664609426,0.7477936551463696,-0.023364878993426097,0.0869848679480133
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,47,0.7898004287639782,0.7871282404584857,0.027009483309609505,0.1373592302510489
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,48,0.763647194783815,0.7509132161917746,0.0,0.23926881227716468
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,48,0.5243783825066504,0.5191953298034007,-0.23926881227716468,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,48,0.591491342121617,0.6066738687329103,-0.17215585266219802,0.06711295961496666
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,48,0.7428524197334695,0.749826282681173,-0.02079477505034555,0.21847403722681913
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,48,0.7396367946427287,0.7073380562927833,-0.024010400141086352,0.21525841213607833
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,48,0.7417840284547019,0.7116494703818422,-0.021863166329113115,0.21740564594805156
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,48,0.7403875432596323,0.7480670513403482,-0.023259651524182745,0.21600916075298193
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,48,0.789768438710925,0.7876551677797299,0.026121243927109905,0.2653900562042746
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,49,0.7630808088395011,0.7514001630894283,0.0,0.19352083935541642
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,49,0.5695599694840847,0.5794861251101426,-0.19352083935541642,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,49,0.5576297872209228,0.5656921102924511,-0.2054510216185783,-0.011930182263161893
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,49,0.7437881217705912,0.7526833059722946,-0.019292687068909964,0.17422815228650645
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,49,0.7400568383069895,0.7086725936455942,-0.023023970532511595,0.17049686882290482
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,49,0.7419090481514847,0.7127883986866262,-0.021171760688016406,0.1723490786674
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,49,0.7399002283088223,0.748423800816652,-0.02318058053067884,0.17034025882473758
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,49,0.7894968683622717,0.7874872368401498,0.026416059522770596,0.21993689887818701
Synthetic_Hard_Benchmark,T_B=25,Current_Only,none,current_graph,25,50,0.7640230817832214,0.7516530337382995,0.0,0.12005744286885811
Synthetic_Hard_Benchmark,T_B=25,Continuous_TGN,parametric_recurrent,all_events,25,50,0.6439656389143633,0.6742334012958464,-0.12005744286885811,0.0
Synthetic_Hard_Benchmark,T_B=25,TGN_NoMemory,parametric_feedforward,current_window,25,50,0.6529803017018614,0.6843283613061204,-0.11104278008136004,0.009014662787498073
Synthetic_Hard_Benchmark,T_B=25,Historical_Retrieval,non_parametric_similarity,snapshot_cache,25,50,0.7403095210374957,0.7464711275419502,-0.023713560745725726,0.09634388212313238
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_AllHistory,exact_edge_memory,all_historical_edges,25,50,0.740588710404475,0.707393783136733,-0.023434371378746377,0.09662307149011173
Synthetic_Hard_Benchmark,T_B=25,EdgeBank_Bounded,exact_edge_memory,regime_A_edges,25,50,0.7423228734989613,0.711752319450019,-0.021700208284260114,0.098357234584598
Synthetic_Hard_Benchmark,T_B=25,Random_Retrieval,non_parametric_random,snapshot_cache,25,50,0.7408639135263579,0.7486032396843129,-0.023159168256863483,0.09689827461199463
Synthetic_Hard_Benchmark,T_B=25,Historical_Oracle,oracle_summary,exact_regime_A,25,50,0.7909128251316653,0.7875022641272152,0.02688974334844385,0.14694718621730196
