seed,experiment,tgn_ap,tgn_auc,tgn_recurrence_ap,oracle_recurrence_ap,current_recurrence_ap,gap_recurrence,t_recover_tgn,t_recover_oracle,recovery_gap
42,exp3_recurrence,0.5023998107811127,0.5041414740652295,0.5064009511200245,0.7869853146144885,0.7507860773550135,0.28058436349446403,100,0,100
43,exp3_recurrence,0.5032314111124666,0.5045717945114712,0.5081513587150839,0.7888745938000744,0.7520022816164127,0.28072323508499053,100,0,100
44,exp3_recurrence,0.5051434065630976,0.5056213683995479,0.510528289380056,0.7857961094839144,0.7483413205838951,0.2752678201038584,100,0,100
45,exp3_recurrence,0.5041225014718682,0.5036676292511172,0.5085399899816223,0.7857649112970673,0.7495686420128703,0.27722492131544496,100,0,100
46,exp3_recurrence,0.502400973589259,0.5041082537426795,0.5058815645944954,0.7841917381028487,0.7482837422920243,0.2783101735083533,100,0,100
47,exp3_recurrence,0.50728623596128,0.5060639725052932,0.5115774289786813,0.7857640134480721,0.7478176414400518,0.2741865844693908,100,0,100
48,exp3_recurrence,0.5035940383205209,0.5036684170918491,0.5071178927895102,0.7888517847390903,0.7514888190313277,0.2817338919495801,100,0,100
49,exp3_recurrence,0.5032592217583056,0.5051668869751349,0.5065283939244775,0.7872497240302948,0.7486157948068805,0.28072133010581735,100,0,100
50,exp3_recurrence,0.5029687151533447,0.503980802843299,0.5085634806626805,0.7898222898861289,0.7524989519922745,0.28125880922344837,100,0,100
51,exp3_recurrence,0.5051314486016025,0.5055484160002451,0.5061345868533771,0.7885432443180134,0.7509729449168158,0.2824086574646363,100,0,100
