target_time,lag_k,lag_time,lag_regime,current_ap,lag_ap,relevance_r_k_ap,current_auc,lag_auc,relevance_r_k_auc
300,1,299,B,0.7295006837807297,0.7235053920001443,-0.005995291780585443,0.7160605572644241,0.7103073928324081,-0.005753164432016011
300,5,295,B,0.7295006837807297,0.7293964899174121,-0.00010419386331761427,0.7160605572644241,0.7076990331403321,-0.008361524124091968
300,10,290,B,0.7295006837807297,0.7272672453991065,-0.002233438381623265,0.7160605572644241,0.7123588047757692,-0.003701752488654897
300,25,275,B,0.7295006837807297,0.7221345640492416,-0.007366119731488152,0.7160605572644241,0.7090339924122753,-0.007026564852148809
300,50,250,B,0.7295006837807297,0.7247209427771683,-0.0047797410035614885,0.7160605572644241,0.7099194908671886,-0.00614106639723544
300,100,200,B,0.7295006837807297,0.7302941614039518,0.0007934776232220164,0.7160605572644241,0.7157204103524227,-0.00034014691200134894
300,150,150,B,0.7295006837807297,0.7265729452303396,-0.002927738550390191,0.7160605572644241,0.7100173861888225,-0.006043171075601594
300,200,100,B,0.7295006837807297,0.727621786366817,-0.0018788974139127834,0.7160605572644241,0.7135206329488247,-0.002539924315599351
300,250,50,A,0.7295006837807297,0.7348157574854197,0.0053150737046899765,0.7160605572644241,0.7204788131737567,0.004418255909332647
300,300,0,A,0.7295006837807297,0.7408847430491896,0.011384059268459867,0.7160605572644241,0.725922762367455,0.00986220510303093
