time,tau,current_only_ap,recent_history_ap,historical_oracle_ap,target_threshold
300,0,0.7295006837807297,0.6816968008649069,0.7851889853747707,0.6772002511930117
301,1,0.7397686031279095,0.7044297101186555,0.7879406905125347,0.6772002511930117
302,2,0.754538101923178,0.7337338523199735,0.7848761383469101,0.6772002511930117
303,3,0.7592362437812477,0.7419762153921734,0.7916722304231154,0.6772002511930117
304,4,0.7556800628787781,0.7541152810037128,0.7901908751508696,0.6772002511930117
305,5,0.7558353808227759,0.7622065429148999,0.7952195332440961,0.6772002511930117
306,6,0.7433320966593967,0.7467365502396357,0.7805795456571104,0.6772002511930117
307,7,0.7493105865003018,0.7417582431352794,0.7820068510985377,0.6772002511930117
308,8,0.7525756141788943,0.7482724390366867,0.7897960872300853,0.6772002511930117
309,9,0.7571807337383967,0.7471159182735265,0.7857573699155675,0.6772002511930117
310,10,0.7557499367311247,0.749617709665853,0.7890631259841998,0.6772002511930117
311,11,0.7527577007075835,0.7494160528023355,0.7802528974085268,0.6772002511930117
312,12,0.7528403253083717,0.752679511947913,0.7893005494003561,0.6772002511930117
313,13,0.7486419426485261,0.748419428340926,0.7826742835124513,0.6772002511930117
314,14,0.768931116039522,0.7571174399911458,0.8005653608928873,0.6772002511930117
315,15,0.7540722849391537,0.7514614871904449,0.78881877275978,0.6772002511930117
316,16,0.7531715883242254,0.7526159759920502,0.7855253411971623,0.6772002511930117
317,17,0.7445782542831627,0.7292504066417587,0.783316239918151,0.6772002511930117
318,18,0.7387587395996436,0.7408218528714859,0.7801183281620614,0.6772002511930117
319,19,0.7492615511273499,0.7470890426144783,0.7875415031785193,0.6772002511930117
320,20,0.7539839758961571,0.7545509794737225,0.7827323175260618,0.6772002511930117
321,21,0.7507517488869779,0.7502737244299335,0.7880495284563251,0.6772002511930117
322,22,0.7624468033148961,0.7605623634074371,0.7963358758554026,0.6772002511930117
323,23,0.7529404733423545,0.7561658125867166,0.7928001400945521,0.6772002511930117
324,24,0.7626688518305922,0.7633607562623047,0.7979918840349592,0.6772002511930117
325,25,0.7494787332973881,0.7546793397454594,0.790019360969595,0.6772002511930117
326,26,0.7564614004923857,0.7482125184672404,0.7952731076771784,0.6772002511930117
327,27,0.7639694085907802,0.7547045422995614,0.798930682955195,0.6772002511930117
328,28,0.7568734952504488,0.7628764511117954,0.79217712120279,0.6772002511930117
329,29,0.7427854005393854,0.7429355945225924,0.781795163644357,0.6772002511930117
330,30,0.759603634164111,0.7600346798697711,0.7921609329671799,0.6772002511930117
331,31,0.7487089629491543,0.7484784811294265,0.7826891998815864,0.6772002511930117
332,32,0.7484275830279457,0.7460821922091774,0.7850018773787794,0.6772002511930117
333,33,0.7400576495806398,0.7377583561311851,0.7811422194157209,0.6772002511930117
334,34,0.758623506336852,0.7573923050066398,0.7951455831432814,0.6772002511930117
335,35,0.759548558923848,0.751770252324883,0.795837769692322,0.6772002511930117
336,36,0.7465104929952141,0.7466760575815659,0.7891759287601066,0.6772002511930117
337,37,0.7610562800782217,0.7528532742222087,0.7982036879360377,0.6772002511930117
338,38,0.7556065981118952,0.7543319647210669,0.7912324721567882,0.6772002511930117
339,39,0.7573370402340356,0.7540125540586083,0.79330126919199,0.6772002511930117
340,40,0.7500958188009192,0.7444908643728683,0.7879975434510464,0.6772002511930117
341,41,0.7492352433616473,0.7548846319013803,0.7835578328397665,0.6772002511930117
342,42,0.7541078568269112,0.7545405554655549,0.7933424496601204,0.6772002511930117
343,43,0.7533449140991253,0.752977701022421,0.7909196293612766,0.6772002511930117
344,44,0.7439407699092117,0.7461497351924689,0.7835844131365268,0.6772002511930117
345,45,0.7572098770664603,0.7498009485092576,0.7919779626655767,0.6772002511930117
346,46,0.7542262217995629,0.7507971884727472,0.7837940528551841,0.6772002511930117
347,47,0.7579022531237866,0.7497505914357075,0.790852126690085,0.6772002511930117
348,48,0.7505143800978292,0.7493945485228434,0.7896528656488022,0.6772002511930117
349,49,0.7577169072701396,0.7634241226239384,0.7851770039371812,0.6772002511930117
350,50,0.7436918012511606,0.7422310327104973,0.780127991854012,0.6772002511930117
351,51,0.7532280148923178,0.757498208235256,0.7895077702690112,0.6772002511930117
352,52,0.7602284944127042,0.7579826302922217,0.7957879563101047,0.6772002511930117
353,53,0.7470545762510883,0.7434568074454294,0.7849824648976318,0.6772002511930117
354,54,0.7610615402592659,0.7589406611515743,0.7954679326840979,0.6772002511930117
355,55,0.7579160025287773,0.7567121729159836,0.7924550423145906,0.6772002511930117
356,56,0.7483956864665526,0.7501154478506915,0.782710057786043,0.6772002511930117
357,57,0.7554234964315437,0.7592454497610048,0.7950652473239921,0.6772002511930117
358,58,0.7615935420817764,0.7476635057345825,0.7877811573492328,0.6772002511930117
359,59,0.7518629986373025,0.7484935023764333,0.7980389653250574,0.6772002511930117
360,60,0.7553382363074509,0.7509528547840358,0.7875036304128185,0.6772002511930117
361,61,0.7528004308994963,0.7528907428046677,0.7923707855900944,0.6772002511930117
362,62,0.7519762416813631,0.7530720897231284,0.7895049684022113,0.6772002511930117
363,63,0.7517709752486471,0.7499370879547776,0.786585872037455,0.6772002511930117
364,64,0.7583513176668687,0.7464433886520463,0.7926962844333272,0.6772002511930117
365,65,0.743154596882961,0.7475120844296257,0.7815205518971735,0.6772002511930117
366,66,0.7516032697538408,0.7497595937428142,0.7935538510258046,0.6772002511930117
367,67,0.7523009448261678,0.7556838522956582,0.7870105066303261,0.6772002511930117
368,68,0.7518697647112822,0.7452901976106853,0.7827456326968734,0.6772002511930117
369,69,0.7519151373042983,0.7388019827787915,0.7856818005141684,0.6772002511930117
370,70,0.7531308420075415,0.7478365587861211,0.7884630492679898,0.6772002511930117
371,71,0.7471973865963109,0.7457023871994617,0.784598265953744,0.6772002511930117
372,72,0.7466632052976097,0.7477685032301943,0.7841559784858623,0.6772002511930117
373,73,0.7605593677273018,0.7528897858842374,0.7912592166622537,0.6772002511930117
374,74,0.75565533758549,0.7566656118126242,0.7872075493829687,0.6772002511930117
375,75,0.7629448487074146,0.7639462103850561,0.7981927161574099,0.6772002511930117
376,76,0.7500353733766578,0.7487965700426117,0.786351906233567,0.6772002511930117
377,77,0.7554853145619228,0.7548333769772857,0.787424798841746,0.6772002511930117
378,78,0.7479333382893246,0.7488011238204444,0.7894619269166152,0.6772002511930117
379,79,0.7598842351559798,0.7519982976816235,0.7911891335530498,0.6772002511930117
380,80,0.7454905979603448,0.7449406859744272,0.7759462979442069,0.6772002511930117
381,81,0.7420633597259865,0.7467684803608531,0.7793047917290941,0.6772002511930117
382,82,0.7402095316100354,0.7402110342738241,0.7798510904170335,0.6772002511930117
383,83,0.7454250339467942,0.7444495240401414,0.7815873256442021,0.6772002511930117
384,84,0.7514332309842584,0.7485075796588188,0.786712455381545,0.6772002511930117
385,85,0.7494251596716378,0.7456804201761764,0.783094374183256,0.6772002511930117
386,86,0.7547313239199319,0.7516103042859591,0.7846687331089301,0.6772002511930117
387,87,0.7494299285297985,0.7406093365484696,0.7786027031926911,0.6772002511930117
388,88,0.7534741857625211,0.7554677005083659,0.7938482447095379,0.6772002511930117
389,89,0.7471449369860799,0.7412089269076833,0.7788988703597846,0.6772002511930117
390,90,0.7564588909716705,0.7545749708554758,0.7949040143455393,0.6772002511930117
391,91,0.746931499836962,0.7480246429562062,0.7844591616770599,0.6772002511930117
392,92,0.753602329468872,0.7511026189447914,0.7951973019546459,0.6772002511930117
393,93,0.7433155412569323,0.7444091920943465,0.7855390985152044,0.6772002511930117
394,94,0.7554021716082556,0.7529915569905207,0.7858756450501763,0.6772002511930117
395,95,0.7394107840638576,0.7408093082503214,0.7785645716930112,0.6772002511930117
396,96,0.748361592035854,0.7541841997906206,0.7836760894839423,0.6772002511930117
397,97,0.7556018043125146,0.752335319350911,0.7868491089686667,0.6772002511930117
398,98,0.7659581080310874,0.7651670831632351,0.8006234372044204,0.6772002511930117
