seed,mean_edge_density,std_edge_density,mean_jaccard_overlap,stationary_reference_ap
42,0.10002597547380156,0.0013306632970045411,0.28919939056867006,0.7524447235477908
43,0.09981599777034561,0.0012968293772832977,0.2880804733214768,0.7532899376913934
44,0.10000484949832776,0.001327733522754156,0.28870564971805973,0.75211378195019
45,0.09998996655518394,0.0012857667266998852,0.28802874083471636,0.7529671157404512
46,0.099961259754738,0.0013496047136884663,0.2883848497915871,0.752406457467445
47,0.09999080267558527,0.0013137559746972363,0.28807292948911023,0.7524392208879195
48,0.10009453734671127,0.0014156805878721124,0.288332935897964,0.7524522442886377
49,0.09982391304347825,0.001350155456072846,0.2879843582655047,0.7529045351517191
50,0.10000122630992196,0.0013453306182316033,0.28888349319236417,0.753674263195522
51,0.09995418060200668,0.0014128639996492704,0.28837171224379954,0.7536041920913994
