seed,current_only_ap,recent_history_ap,historical_oracle_ap,true_regime_oracle_ap,random_history_ap,delta_old,delta_recent,delta_random,delta_true_oracle,t_recover_current,t_recover_recent,t_recover_oracle
42,0.7522693946180549,0.7565188921400883,0.7885545354013533,0.7618141906117796,0.7607617066808297,0.036285140783298475,0.0042494975220334075,0.008492312062774787,0.009544795993724708,0,0,0
43,0.7524352662837553,0.7573336226941486,0.7892264790273285,0.7624252976313427,0.7603132820512468,0.03679121274357311,0.0048983564103932675,0.007878015767491475,0.009990031347587358,0,0,0
44,0.7495282761874578,0.7557427018190622,0.786541978051878,0.7599611378795789,0.7594395062878319,0.03701370186442021,0.006214425631604459,0.009911230100374091,0.010432861692121098,0,0,0
45,0.7499086538888474,0.7542090874520088,0.7856905236570344,0.7595789122663432,0.7578357019535342,0.03578186976818698,0.004300433563161343,0.007927048064686804,0.0096702583774958,0,0,0
46,0.7496158088190968,0.753704535967577,0.7855981379561077,0.7597620798913428,0.7580454223226872,0.03598232913701083,0.004088727148480187,0.008429613503590394,0.010146271072245971,0,0,0
47,0.748317461760572,0.7532350808487647,0.7859516971113334,0.7593782565149705,0.7569804509775289,0.03763423535076138,0.00491761908819266,0.008662989216956851,0.011060794754398473,0,1,0
48,0.7503744985998249,0.7547035869650964,0.7868271337514948,0.7601652902759966,0.7583547002345543,0.036452635151669965,0.004329088365271572,0.007980201634729456,0.009790791676171695,0,0,0
49,0.7500245923938854,0.7548232654297882,0.7876790442397447,0.7603506525657294,0.7587531207191928,0.03765445184585925,0.004798673035902756,0.00872852832530735,0.01032606017184401,0,0,0
50,0.7528135505361953,0.7560827999264655,0.7896954656711692,0.7626451026618442,0.7597759744076094,0.036881915134973964,0.00326924939027029,0.006962423871414103,0.009831552125648901,0,0,0
51,0.752516352102037,0.7563749848152376,0.7884051226735381,0.7615822660255911,0.7589155593504388,0.03588877057150108,0.003858632713200527,0.006399207248401706,0.009065913923554048,0,0,0
