seed,regime_A_density,regime_B_density,density_diff,regime_A_overlap,regime_B_overlap
42,0.10005596432552955,0.09996532887402454,9.063545150500563e-05,0.2892141027170381,0.1614119650468387
43,0.09988940914158306,0.09977435897435898,0.00011505016722408723,0.28847583516763836,0.16103231904496965
44,0.09997290969899666,0.10007826086956521,0.00010535117056854892,0.28880290596784497,0.16112029579870576
45,0.09999152731326644,0.099976254180602,1.52731326644312e-05,0.2881524422255378,0.16117883425210028
46,0.09983021181716832,0.10004403567447046,0.00021382385730213394,0.2880940722287494,0.16115323315349087
47,0.10006889632107022,0.09983578595317726,0.0002331103678929608,0.2880673007736195,0.16052714974668147
48,0.0999686733556299,0.10014626532887401,0.00017759197324411502,0.2882627393668717,0.1613475027921489
49,0.09985027870680044,0.09978439241917503,6.588628762541071e-05,0.28765319672295875,0.16112605455410425
50,0.10006577480490524,0.10008015607580824,1.438127090300223e-05,0.2888458925249547,0.16093151122093366
51,0.09994247491638795,0.10000078037904124,5.830546265328529e-05,0.28810355879098754,0.16099509134597179
