T_B,seed,epoch,train_loss,val_ap,val_auc,final_test_ap
25,42,1,0.6945428964445146,0.49725563233529935,0.49626944239445386,0.652435211202868
25,42,2,0.693273775153241,0.5005934041930041,0.5009362317618279,0.652435211202868
25,42,3,0.6931886066824703,0.499181623297332,0.49934243255132715,0.652435211202868
25,42,4,0.6932341900922484,0.4957442819117375,0.49472209283727464,0.652435211202868
25,42,5,0.6930527924481085,0.49863996134835653,0.49884496624543784,0.652435211202868
25,42,6,0.6921538846977686,0.5018018046198833,0.5027108904082537,0.652435211202868
25,42,7,0.6605191523745909,0.5020705989541127,0.5039063205233056,0.652435211202868
25,42,8,0.6545437902717267,0.5025880346624919,0.5035402607765069,0.652435211202868
25,42,9,0.6496028122255357,0.5041869864296235,0.5058577136287696,0.652435211202868
25,42,10,0.6502423725895963,0.5042206234776717,0.5044078787085013,0.652435211202868
25,42,11,0.6500448968450901,0.5039257976356178,0.505002574502918,0.652435211202868
25,42,12,0.6460578911385294,0.5017413460134725,0.5020405019753776,0.652435211202868
25,42,13,0.6498415439815844,0.5020467950294684,0.503427199951554,0.652435211202868
25,42,14,0.6475179937936492,0.5035149621077561,0.5070744051201831,0.652435211202868
25,42,15,0.6465069171735796,0.5046021465988519,0.5041211553891513,0.652435211202868
25,42,16,0.6471979961556903,0.5051363348065249,0.5060407575049914,0.652435211202868
25,42,17,0.646620754468239,0.5042376436620486,0.5046966016308922,0.652435211202868
25,42,18,0.6479420202263331,0.5044599427984795,0.5041588077056414,0.652435211202868
25,42,19,0.6464100970050036,0.5031218370972388,0.5036989178464043,0.652435211202868
25,42,20,0.6481689411704823,0.5044301220177514,0.5047455575348293,0.652435211202868
25,42,21,0.6428605080661127,0.5038311349476744,0.5058217329946791,0.652435211202868
25,42,22,0.6446875217607466,0.5058103092260056,0.5070385431281879,0.652435211202868
25,42,23,0.648957427780507,0.5079752839471989,0.5080203925210891,0.652435211202868
25,42,24,0.6476121282173415,0.5039379975547247,0.5060964505486873,0.652435211202868
25,42,25,0.6447091244034848,0.5047308008217619,0.5074799390779663,0.652435211202868
25,43,1,0.6940985518996998,0.5046033288437023,0.5035933709599082,0.651253283538783
25,43,2,0.6931148843239929,0.5033862070838002,0.5034544817100911,0.651253283538783
25,43,3,0.6929832560531164,0.5003413979565516,0.49927864578882103,0.651253283538783
25,43,4,0.6922769824327049,0.5017524393089619,0.5004034776018575,0.651253283538783
25,43,5,0.6757022657636869,0.505488526622512,0.5057770619889783,0.651253283538783
25,43,6,0.6664545238018036,0.5048436591392707,0.5047416524325723,0.651253283538783
25,43,7,0.6566391304387884,0.5045375535066452,0.5071695525857608,0.651253283538783
25,43,8,0.6535287292326911,0.502513980706428,0.5078851090695221,0.651253283538783
25,43,9,0.6470424411660534,0.5057113159768025,0.5053406021554162,0.651253283538783
25,43,10,0.6499103509773643,0.5054922324761221,0.5074833420641364,0.651253283538783
25,43,11,0.645512720285836,0.5056428251210936,0.5054184289572112,0.651253283538783
25,43,12,0.6485101100751909,0.5045619026674655,0.5070865634935732,0.651253283538783
25,43,13,0.6457380910040968,0.5025552651322454,0.5073922209030752,0.651253283538783
25,43,14,0.644999669770063,0.5062234292235829,0.5090653413325115,0.651253283538783
25,43,15,0.6431779386633534,0.5057834631810976,0.5074085282505398,0.651253283538783
25,43,16,0.6445598809395806,0.504528734586152,0.5080059127649034,0.651253283538783
25,43,17,0.6464369781946732,0.5065492130995055,0.5100925410425522,0.651253283538783
25,43,18,0.6480430703041917,0.5077343934269622,0.5085506927522249,0.651253283538783
25,43,19,0.6473309498722271,0.5025240947238225,0.5062840558406848,0.651253283538783
25,43,20,0.645747245873435,0.50536812641969,0.5092943792705664,0.651253283538783
25,43,21,0.6468963355331098,0.5037467092873628,0.5081272675112728,0.651253283538783
25,43,22,0.6464658425015918,0.5042564381995203,0.5054358572155884,0.651253283538783
25,43,23,0.647202571569863,0.5011668626474108,0.5067046150064783,0.651253283538783
25,43,24,0.6450792990498624,0.5059725517637906,0.5114318481020753,0.651253283538783
25,43,25,0.6478465416673886,0.5049498670527223,0.5065706847072058,0.651253283538783
25,44,1,0.6943520640922805,0.5006116592000367,0.500986490865823,0.6189580980287153
25,44,2,0.6933270834260068,0.49917071681567954,0.49650340266256665,0.6189580980287153
25,44,3,0.6932887707726431,0.5009534705426566,0.499495877111071,0.6189580980287153
25,44,4,0.693045586852704,0.49678232470025885,0.49716347658031756,0.6189580980287153
25,44,5,0.6887054296873384,0.5032879429605361,0.5048366003992326,0.6189580980287153
25,44,6,0.6752704897169339,0.5036025001203664,0.5036246260094275,0.6189580980287153
25,44,7,0.6698211411298332,0.5041172428405271,0.5042337199873841,0.6189580980287153
25,44,8,0.6701156769768667,0.5021653065946186,0.502259492980221,0.6189580980287153
25,44,9,0.6699532290636483,0.5018764568305224,0.5015425084339692,0.6189580980287153
25,44,10,0.668582507614362,0.5024330683523641,0.501653795580917,0.6189580980287153
25,44,11,0.6702473350500656,0.5005719805127501,0.5031957971928755,0.6189580980287153
25,44,12,0.6697582415604996,0.5008747799450418,0.5030346493167216,0.6189580980287153
25,44,13,0.6686393522610099,0.5024381263559007,0.5026372578136928,0.6189580980287153
25,44,14,0.6683982327833013,0.5013648601757352,0.5014425143473368,0.6189580980287153
25,44,15,0.6702361505920604,0.5014710756587107,0.5024843466920177,0.6189580980287153
25,44,16,0.6697064926058559,0.5036123618520232,0.5035507273630722,0.6189580980287153
25,44,17,0.6669181469133345,0.5034846151409238,0.5018570834780722,0.6189580980287153
25,44,18,0.668131849523318,0.5027917265220629,0.504103555898485,0.6189580980287153
25,44,19,0.6665895535784253,0.5018784272712513,0.500772201497558,0.6189580980287153
25,44,20,0.6667327693963455,0.5033612439565773,0.5015843717270777,0.6189580980287153
25,44,21,0.6673834520881459,0.5018382896782663,0.5002382509290144,0.6189580980287153
25,44,22,0.667994722976523,0.5023855144572036,0.5014806413014354,0.6189580980287153
25,44,23,0.6662999300633446,0.5025111766330165,0.5018159729873236,0.6189580980287153
25,44,24,0.6654764848240351,0.5025168704790697,0.5047659579177475,0.6189580980287153
25,44,25,0.6690322716357344,0.5043137099413819,0.5030921354367474,0.6189580980287153
25,45,1,0.6940982609482135,0.5024490695098043,0.5021176359119136,0.6459819118417761
25,45,2,0.6931490812261226,0.5018245861353344,0.5025575417470171,0.6459819118417761
25,45,3,0.6932840822106701,0.5015584544150083,0.5022081997232513,0.6459819118417761
25,45,4,0.6930895685139349,0.5012157670154005,0.501063063616905,0.6459819118417761
25,45,5,0.6921608367208707,0.49858644470754354,0.49794281447379396,0.6459819118417761
25,45,6,0.6792377481016062,0.49982183250089895,0.5012660941304593,0.6459819118417761
25,45,7,0.6696909322577008,0.5003078056514991,0.5011584491011183,0.6459819118417761
25,45,8,0.6611990676087848,0.5017657918200262,0.5032076476270204,0.6459819118417761
25,45,9,0.6571064813662384,0.5034183497911926,0.5044729083573358,0.6459819118417761
25,45,10,0.656744145740897,0.503183166111777,0.5050944097936899,0.6459819118417761
25,45,11,0.6488977731284449,0.5048448373553223,0.5057343590450577,0.6459819118417761
25,45,12,0.6499147364648722,0.5036328744150955,0.5039548008130293,0.6459819118417761
25,45,13,0.6454869796664028,0.5024996469453793,0.5039922804205766,0.6459819118417761
25,45,14,0.6472968777357522,0.5025638568044293,0.5042635362362348,0.6459819118417761
25,45,15,0.645089104519052,0.5031309051482961,0.5049705766884353,0.6459819118417761
25,45,16,0.6472345625950118,0.5060141237067325,0.5074544531313337,0.6459819118417761
25,45,17,0.6452802434816198,0.5075298986951801,0.5079219129475394,0.6459819118417761
25,45,18,0.6472821094221988,0.5053858692481371,0.5061213374989786,0.6459819118417761
25,45,19,0.6479482186042657,0.5038726250505161,0.5052858020783528,0.6459819118417761
25,45,20,0.6437400660272372,0.5039555030842603,0.5056410107611962,0.6459819118417761
25,45,21,0.6469862289347891,0.5024681672028732,0.50455204552584,0.6459819118417761
25,45,22,0.6441664670483541,0.5032557413320806,0.5048783649950926,0.6459819118417761
25,45,23,0.6451532638679116,0.5026510192824825,0.5050362455331084,0.6459819118417761
25,45,24,0.6449044321553182,0.5038345741948967,0.5058679131605932,0.6459819118417761
25,45,25,0.6447916298599566,0.5014326357851779,0.505753999707589,0.6459819118417761
25,46,1,0.6943258466356892,0.4998625167909758,0.5002765993429648,0.6488683383026796
25,46,2,0.6934830743377491,0.49778512576060424,0.49726958656533116,0.6488683383026796
25,46,3,0.6931966406814123,0.502775383467954,0.5019558048613955,0.6488683383026796
25,46,4,0.693113559383457,0.50219370604597,0.5046844152609014,0.6488683383026796
25,46,5,0.6930645088017997,0.5012023820872207,0.5032669804228221,0.6488683383026796
25,46,6,0.6869478442911374,0.500703262171972,0.5014146880780356,0.6488683383026796
25,46,7,0.6689404749264152,0.5018994708731838,0.5019778946958943,0.6488683383026796
25,46,8,0.6578887847520537,0.5026279492125205,0.5022297812860925,0.6488683383026796
25,46,9,0.6584230787673239,0.5020875230667776,0.5017245482891692,0.6488683383026796
25,46,10,0.6579118537700782,0.5027118491675333,0.5024689303705235,0.6488683383026796
25,46,11,0.6574352575560748,0.5023068151611164,0.5048752235926618,0.6488683383026796
25,46,12,0.6517005315271475,0.5023005299797509,0.5036571694646242,0.6488683383026796
25,46,13,0.651323891292184,0.5032763199285222,0.5044364516748803,0.6488683383026796
25,46,14,0.648171361220085,0.5032358051345205,0.5029527144773233,0.6488683383026796
25,46,15,0.6476021651494301,0.5017608233878728,0.5046873212460855,0.6488683383026796
25,46,16,0.6447349695836083,0.5044301558605255,0.5054090301729023,0.6488683383026796
25,46,17,0.645434665477882,0.5015075072371519,0.5030914425402553,0.6488683383026796
25,46,18,0.6460067245919826,0.5033014157470028,0.5044077982262544,0.6488683383026796
25,46,19,0.6440735964451806,0.5040391681770118,0.5060293965943113,0.6488683383026796
25,46,20,0.6466520812551854,0.5039600709595125,0.5053148416783332,0.6488683383026796
25,46,21,0.644792247121617,0.5027632610393652,0.5052391101576753,0.6488683383026796
25,46,22,0.6438486121468625,0.5048837078015952,0.5060767916001947,0.6488683383026796
