condition,seed,edge_jaccard_overlap,method,AP,delta_vs_current,delta_vs_edgebank
Condition_A_Exact_Recurrence,42,0.7707701498024079,Current_Only,0.9001177025216097,0.0,0.015275264207272543
Condition_A_Exact_Recurrence,42,0.7707701498024079,Continuous_TGN,0.5576250503023794,-0.3424926522192303,-0.32721738801195777
Condition_A_Exact_Recurrence,42,0.7707701498024079,EdgeBank_AllHistory,0.8898620510066217,-0.010255651514987973,0.00501961269228457
Condition_A_Exact_Recurrence,42,0.7707701498024079,EdgeBank_Bounded,0.8848424383143372,-0.015275264207272543,0.0
Condition_A_Exact_Recurrence,42,0.7707701498024079,Historical_Retrieval,0.8507348776467938,-0.049382824874815934,-0.03410756066754339
Condition_A_Exact_Recurrence,42,0.7707701498024079,Random_Retrieval,0.8521663859963537,-0.04795131652525597,-0.03267605231798343
Condition_A_Exact_Recurrence,42,0.7707701498024079,Historical_Oracle,0.9115862981887715,0.01146859566716174,0.026743859874434284
Condition_A_Exact_Recurrence,43,0.7750591586831163,Current_Only,0.8993540072912466,0.0,0.014668004387610178
Condition_A_Exact_Recurrence,43,0.7750591586831163,Continuous_TGN,0.5133530023538259,-0.38600100493742073,-0.37133300054981055
Condition_A_Exact_Recurrence,43,0.7750591586831163,EdgeBank_AllHistory,0.8898331902204145,-0.009520817070832077,0.005147187316778101
Condition_A_Exact_Recurrence,43,0.7750591586831163,EdgeBank_Bounded,0.8846860029036364,-0.014668004387610178,0.0
Condition_A_Exact_Recurrence,43,0.7750591586831163,Historical_Retrieval,0.8562062886261368,-0.0431477186651098,-0.028479714277499624
Condition_A_Exact_Recurrence,43,0.7750591586831163,Random_Retrieval,0.8495853384922997,-0.049768668798946925,-0.035100664411336746
Condition_A_Exact_Recurrence,43,0.7750591586831163,Historical_Oracle,0.9108927803876621,0.011538773096415489,0.026206777484025667
Condition_A_Exact_Recurrence,44,0.7702544570130555,Current_Only,0.899143590933046,0.0,0.014352364547627228
Condition_A_Exact_Recurrence,44,0.7702544570130555,Continuous_TGN,0.5071510651566178,-0.3919925257764282,-0.37764016122880095
Condition_A_Exact_Recurrence,44,0.7702544570130555,EdgeBank_AllHistory,0.889477974900352,-0.009665616032694002,0.0046867485149332255
Condition_A_Exact_Recurrence,44,0.7702544570130555,EdgeBank_Bounded,0.8847912263854187,-0.014352364547627228,0.0
Condition_A_Exact_Recurrence,44,0.7702544570130555,Historical_Retrieval,0.8497970432827159,-0.049346547650330086,-0.03499418310270286
Condition_A_Exact_Recurrence,44,0.7702544570130555,Random_Retrieval,0.8504002967483586,-0.04874329418468737,-0.03439092963706014
Condition_A_Exact_Recurrence,44,0.7702544570130555,Historical_Oracle,0.910762514672682,0.011618923739636022,0.02597128828726325
Condition_A_Exact_Recurrence,45,0.7728065345080763,Current_Only,0.8993074136495899,0.0,0.015063760820674843
Condition_A_Exact_Recurrence,45,0.7728065345080763,Continuous_TGN,0.5268056270858678,-0.3725017865637221,-0.3574380257430473
Condition_A_Exact_Recurrence,45,0.7728065345080763,EdgeBank_AllHistory,0.8893907425500185,-0.009916671099571395,0.005147089721103448
Condition_A_Exact_Recurrence,45,0.7728065345080763,EdgeBank_Bounded,0.884243652828915,-0.015063760820674843,0.0
Condition_A_Exact_Recurrence,45,0.7728065345080763,Historical_Retrieval,0.8490321185781525,-0.050275295071437354,-0.03521153425076251
Condition_A_Exact_Recurrence,45,0.7728065345080763,Random_Retrieval,0.8502709327864595,-0.049036480863130394,-0.03397272004245555
Condition_A_Exact_Recurrence,45,0.7728065345080763,Historical_Oracle,0.9107978260880343,0.011490412438444397,0.02655417325911924
Condition_A_Exact_Recurrence,46,0.7715178530398419,Current_Only,0.8987589309911544,0.0,0.014685789859219756
Condition_A_Exact_Recurrence,46,0.7715178530398419,Continuous_TGN,0.5525119345650245,-0.34624699642613,-0.33156120656691024
Condition_A_Exact_Recurrence,46,0.7715178530398419,EdgeBank_AllHistory,0.8896125752270714,-0.00914635576408307,0.005539434095136686
Condition_A_Exact_Recurrence,46,0.7715178530398419,EdgeBank_Bounded,0.8840731411319347,-0.014685789859219756,0.0
Condition_A_Exact_Recurrence,46,0.7715178530398419,Historical_Retrieval,0.8483700373065541,-0.05038889368460031,-0.035703103825380555
Condition_A_Exact_Recurrence,46,0.7715178530398419,Random_Retrieval,0.8493478264929466,-0.04941110449820785,-0.03472531463898809
Condition_A_Exact_Recurrence,46,0.7715178530398419,Historical_Oracle,0.9104787128380929,0.011719781846938448,0.026405571706158204
Condition_A_Exact_Recurrence,47,0.7763287797038227,Current_Only,0.8983911032006975,0.0,0.014874037978933496
Condition_A_Exact_Recurrence,47,0.7763287797038227,Continuous_TGN,0.529960221740888,-0.3684308814598095,-0.353556843480876
Condition_A_Exact_Recurrence,47,0.7763287797038227,EdgeBank_AllHistory,0.8886173184531987,-0.009773784747498793,0.005100253231434704
Condition_A_Exact_Recurrence,47,0.7763287797038227,EdgeBank_Bounded,0.883517065221764,-0.014874037978933496,0.0
