benchmark,seed,method,AP,AUC,delta_vs_current,delta_vs_tgn
Current_Sufficient_Control,42,Current_Only,0.9507131743771715,0.9416152525749945,0.0,0.36286169757880393
Current_Sufficient_Control,42,Continuous_TGN,0.5878514767983676,0.618644772432273,-0.36286169757880393,0.0
Current_Sufficient_Control,42,TGN_NoMemory,0.6404663096549564,0.6705438770698063,-0.3102468647222151,0.052614832856588856
Current_Sufficient_Control,42,Historical_Retrieval,0.9018227675628643,0.9097209330205456,-0.04889040681430723,0.3139712907644967
Current_Sufficient_Control,42,Historical_Oracle,0.9555494517559464,0.9482342921850135,0.0048362773787749,0.36769797495757883
Current_Sufficient_Control,43,Current_Only,0.9508099291318941,0.9417389179110602,0.0,0.4764831744443459
Current_Sufficient_Control,43,Continuous_TGN,0.4743267546875482,0.4910186376768587,-0.4764831744443459,0.0
Current_Sufficient_Control,43,TGN_NoMemory,0.5835555391552405,0.5990042985831023,-0.3672543899766536,0.1092287844676923
Current_Sufficient_Control,43,Historical_Retrieval,0.9017955051769582,0.9098492808066022,-0.04901442395493594,0.42746875048940997
Current_Sufficient_Control,43,Historical_Oracle,0.9555767724291744,0.9484263454510408,0.0047668432972802766,0.4812500177416262
Current_Sufficient_Control,44,Current_Only,0.9506959548444769,0.94130112413017,0.0,0.46100379516918666
Current_Sufficient_Control,44,Continuous_TGN,0.48969215967529023,0.5127954600406045,-0.46100379516918666,0.0
Current_Sufficient_Control,44,TGN_NoMemory,0.6343400511276152,0.6627115373163215,-0.31635590371686173,0.14464789145232493
Current_Sufficient_Control,44,Historical_Retrieval,0.8972948110146539,0.9061767105176173,-0.05340114382982297,0.4076026513393637
Current_Sufficient_Control,44,Historical_Oracle,0.9554682030705468,0.9480860011011812,0.0047722482260699195,0.4657760433952566
Current_Sufficient_Control,45,Current_Only,0.9507017924429707,0.9415245666092728,0.0,0.32565868941131415
Current_Sufficient_Control,45,Continuous_TGN,0.6250431030316566,0.6592484684944093,-0.32565868941131415,0.0
Current_Sufficient_Control,45,TGN_NoMemory,0.6084636670347653,0.6262968423969952,-0.3422381254082054,-0.016579435996891267
Current_Sufficient_Control,45,Historical_Retrieval,0.9005595346970037,0.9088908991664598,-0.050142257745967034,0.2755164316653471
Current_Sufficient_Control,45,Historical_Oracle,0.9558759054666925,0.9483692018039607,0.005174113023721838,0.330832802435036
Current_Sufficient_Control,46,Current_Only,0.9502957291980703,0.9407293818231911,0.0,0.4415314408277823
Current_Sufficient_Control,46,Continuous_TGN,0.508764288370288,0.509714751953225,-0.4415314408277823,0.0
