T_B,seed,k_A,TGN_AP,TGN_NoMemory_AP,Current_Only_AP,recovery_gain_vs_k0
50,42,0,0.5373490655527327,0.6501382834632122,0.7641096889285466,0.0
50,42,1,0.5374648669269394,0.6505565938859604,0.7642522700216259,0.00011580137420674763
50,42,5,0.537682959055753,0.6511837278231916,0.7644663192465415,0.0003338935030203771
50,42,10,0.537521144923987,0.6510187835368756,0.764658138078564,0.00017207937125429673
50,42,25,0.5378682668348456,0.6512453490400274,0.765115444116222,0.0005192012821129133
50,43,0,0.4740646236327354,0.627488317233559,0.7642234508774988,0.0
50,43,1,0.4739726360523949,0.6279665897249089,0.7643766431443758,-9.198758034045795e-05
50,43,5,0.47405053582292844,0.6283651096662142,0.7646208937944194,-1.4087809806939688e-05
50,43,10,0.4741103151926312,0.6283537508009418,0.7646926998379648,4.569155989581075e-05
50,43,25,0.4739978503674691,0.6283193462766201,0.7650523125295652,-6.677326526627336e-05
50,44,0,0.542604906828414,0.532256364821313,0.7636110648606491,0.0
50,44,1,0.5427941604237179,0.5323873199977112,0.7639890338096846,0.0001892535953038621
50,44,5,0.5427812608102679,0.5324370086577811,0.76404149026407,0.00017635398185389395
50,44,10,0.5429551357700619,0.5324503067125017,0.7638522942012085,0.0003502289416479343
50,44,25,0.5432337584073466,0.5321435985918817,0.7643964313937683,0.0006288515789325544
50,45,0,0.5381984404311828,0.6360753359795397,0.7635124461164953,0.0
50,45,1,0.5382706076778299,0.6364938400899154,0.7636998302466858,7.216724664704799e-05
50,45,5,0.538582476440323,0.6369467110340117,0.7640414631804797,0.0003840360091401651
50,45,10,0.5384152391341614,0.6370515335472007,0.7641506984967543,0.0002167987029786378
50,45,25,0.5385572948372408,0.6363701469730579,0.7645910953649133,0.0003588544060579846
50,46,0,0.526640952531332,0.5416114848244162,0.7629046099386579,0.0
50,46,1,0.526738030727194,0.5416696123855052,0.763117501838869,9.707819586202149e-05
50,46,5,0.5268596717801287,0.5417216010069581,0.7631025513019392,0.0002187192487966838
50,46,10,0.5266638277901307,0.5415560840442155,0.7634449234680747,2.2875258798626952e-05
50,46,25,0.5263952579441575,0.5418704884744836,0.7644570969679594,-0.0002456945871744942
50,47,0,0.5883972085719806,0.6426867154993913,0.762219831712867,0.0
50,47,1,0.5887788230489259,0.6431958753742717,0.7624965565049378,0.00038161447694529116
50,47,5,0.5888981949861389,0.6433088457288629,0.7626818912870322,0.0005009864141582998
50,47,10,0.5883569432836258,0.6430118974070212,0.7624832363591368,-4.02652883548793e-05
50,47,25,0.588229403084461,0.643156148733502,0.7631958121595706,-0.00016780548751960112
50,48,0,0.6000401985439403,0.6320011288862365,0.763081065944957,0.0
50,48,1,0.6003011254993103,0.6324854594450748,0.763166508912638,0.0002609269553699445
50,48,5,0.6004451277415169,0.6324548803399312,0.7632885233719331,0.00040492919757662005
50,48,10,0.60083046760013,0.6326603815139663,0.7636251640589997,0.0007902690561897296
50,48,25,0.6002262608176728,0.6328754726644451,0.7634338987160171,0.0001860622737325235
50,49,0,0.560362095561629,0.5109115881843894,0.763533172378122,0.0
50,49,1,0.5604819501354759,0.5109312518914289,0.7637439308198548,0.00011985457384688925
50,49,5,0.5605034651507,0.5111175054477357,0.7640630626280368,0.000141369589071072
50,49,10,0.56047502769106,0.5111798604293799,0.7640063346806765,0.00011293212943097597
50,49,25,0.5610598498211288,0.5102529092243657,0.76483816562531,0.0006977542594998054
50,50,0,0.5184163553130476,0.6497539458541486,0.7642384202992645,0.0
50,50,1,0.5184721847567595,0.6504054138903758,0.7644533479653908,5.582944371185228e-05
50,50,5,0.5183676745872343,0.6505024770660379,0.7643865870049641,-4.86807258133215e-05
50,50,10,0.518315466631715,0.6505177540391915,0.7642849123711459,-0.00010088868133262263
