target_time,lag_k,lag_time,lag_regime,current_ap,lag_ap,relevance_r_k_ap,current_auc,lag_auc,relevance_r_k_auc
300,1,299,B,0.93609397028604,0.9368204206849124,0.0007264503988724247,0.9253086323865579,0.9261927713918897,0.0008841390053317966
300,5,295,B,0.93609397028604,0.9371902421620236,0.001096271875983601,0.9253086323865579,0.9243186262442852,-0.0009900061422727369
300,10,290,B,0.93609397028604,0.9372584920520827,0.0011645217660426477,0.9253086323865579,0.9246643022346476,-0.0006443301519103439
300,25,275,B,0.93609397028604,0.9357909264036527,-0.0003030438823873327,0.9253086323865579,0.922560885476691,-0.0027477469098668994
300,50,250,B,0.93609397028604,0.936853652094288,0.0007596818082479251,0.9253086323865579,0.9238522171942476,-0.001456415192310323
300,100,200,B,0.93609397028604,0.9339968689169919,-0.002097101369048171,0.9253086323865579,0.9214826484751967,-0.0038259839113612415
300,150,150,B,0.93609397028604,0.9347445891170646,-0.0013493811689754276,0.9253086323865579,0.9212002948845001,-0.004108337502057857
300,200,100,B,0.93609397028604,0.9347983458185282,-0.0012956244675118578,0.9253086323865579,0.922820012609073,-0.002488619777484935
300,250,50,A,0.93609397028604,0.9353891975895605,-0.0007047726964795054,0.9253086323865579,0.9241841156156204,-0.0011245167709375004
300,300,0,A,0.93609397028604,0.9368855562408064,0.0007915859547663606,0.9253086323865579,0.9261369932624965,0.0008283608759386274
