seed,b_duration,delta_old,delta_recent,delta_net
42,10,0.010204286082121133,-0.002099799425926141,0.012304085508047274
42,25,0.010267179311021868,-0.0018315597907308302,0.012098739101752697
42,50,0.0104681530892289,-0.0020806568296400816,0.012548809918868982
42,100,0.01085609522645753,-0.002137708641529601,0.01299380386798713
42,200,0.010625389815893893,-0.0017126826427657337,0.012338072458659626
43,10,0.010638927157469707,-0.0012465020446034702,0.011885429202073177
43,25,0.009675618412783643,-0.002659453879664575,0.012335072292448217
43,50,0.010518711711120177,-0.001505249179110657,0.012023960890230834
43,100,0.01100493789469607,-0.0020971085133932644,0.013102046408089334
43,200,0.01035818434707152,-0.0022706347700941487,0.012628819117165669
44,10,0.010686378973352412,-0.002303965106506428,0.012990344079858841
44,25,0.01129818760224508,-0.001071664060505001,0.01236985166275008
44,50,0.01009090576811148,-0.0016949876753612203,0.0117858934434727
44,100,0.01135730099078186,-0.0021746416826427693,0.01353194267342463
44,200,0.010490140104945872,-0.0017276533393792315,0.012217793444325104
45,10,0.010796078929315677,-0.0012480592586070482,0.012044138187922725
45,25,0.010969706738686963,-0.0020795949770230247,0.013049301715709987
45,50,0.01080093381664155,-0.001974844736148701,0.01277577855279025
45,100,0.01041293911276362,-0.002372589270280606,0.012785528383044226
45,200,0.010908277133106287,-0.0018532880177697497,0.012761565150876036
46,10,0.010525675435327269,-0.0029697871644006222,0.013495462599727892
46,25,0.011140993792386,-0.00215085622888756,0.01329185002127356
46,50,0.0105359411207677,-0.0019051624683065482,0.012441103589074248
46,100,0.010294514524017284,-0.0022122338754085257,0.01250674839942581
46,200,0.010454953376088278,-0.0016127451314217056,0.012067698507509984
47,10,0.010060236457772088,-0.002299485072910434,0.012359721530682523
47,25,0.010265053657219187,-0.0022512081266338967,0.012516261783853084
47,50,0.010313002327191002,-0.002220095322715798,0.0125330976499068
47,100,0.010876366582636354,-0.001911507198704171,0.012787873781340525
47,200,0.011441097146719642,-0.002270341943115722,0.013711439089835364
48,10,0.010992723826473778,-0.0016979875803596945,0.012690711406833472
48,25,0.010056847810460757,-0.0024012982411810045,0.01245814605164176
48,50,0.010703168338428149,-0.002137971990701848,0.012841140329129997
48,100,0.010760261696578916,-0.0020341657529195146,0.01279442744949843
48,200,0.010484517182048514,-0.0019049351184014574,0.012389452300449971
49,10,0.010590724108744537,-0.0008574429059784505,0.011448167014722987
49,25,0.010578701434416976,-0.0016225783632485059,0.012201279797665481
49,50,0.01020231274341939,-0.0016939395958357085,0.0118962523392551
49,100,0.01062790473012024,-0.0024196880336642412,0.013047592763784482
49,200,0.011168906024047959,-0.002153974473612974,0.013322880497660932
50,10,0.00962582686420473,-0.0024227558783026073,0.012048582742507336
50,25,0.011609117835728138,-0.0019416746642282989,0.013550792499956436
50,50,0.01102419438383872,-0.0019028971607953026,0.012927091544634024
50,100,0.010252795008936676,-0.002403365248956868,0.012656160257893545
50,200,0.01024652545733345,-0.0023804595653780015,0.012626985022711451
51,10,0.010324506881395478,-0.001935488128743279,0.012259995010138757
51,25,0.010944068730425754,-0.0014669615262441426,0.012411030256669897
51,50,0.010460897143055453,-0.0023198717978482495,0.012780768940903704
51,100,0.009647844980959924,-0.0020866339182203653,0.011734478899180289
51,200,0.010604370067693335,-0.00186284031359506,0.012467210381288396
