time,tau,current_only_ap,recent_history_ap,historical_oracle_ap,target_threshold
300,0,0.93609397028604,0.9367573442824101,0.9486224870188823,0.8511319035973735
301,1,0.933741982266002,0.9336096420306902,0.9466471434041962,0.8511319035973735
302,2,0.9361765858079741,0.9349350546902334,0.951776768471008,0.8511319035973735
303,3,0.9313910318274113,0.9313897262381365,0.9489669907750805,0.8511319035973735
304,4,0.9401535565783732,0.9413741747637797,0.9524556087492531,0.8511319035973735
305,5,0.94711407386788,0.9433592183383992,0.9566846794669939,0.8511319035973735
306,6,0.9425136014593986,0.9414695185383507,0.9524917063942657,0.8511319035973735
307,7,0.9439445010889025,0.9403524869109352,0.9517391623496082,0.8511319035973735
308,8,0.9388337523012507,0.9397525107554884,0.9500470132565159,0.8511319035973735
309,9,0.9441271645493328,0.9427177515288965,0.9543036046363423,0.8511319035973735
310,10,0.9482519447076795,0.945561325396641,0.9576766894951401,0.8511319035973735
311,11,0.9412944791194972,0.9416958750029414,0.9491498795739921,0.8511319035973735
312,12,0.9433680356437126,0.9423470625348811,0.9563698740610453,0.8511319035973735
313,13,0.944967506504029,0.9444462484339202,0.954506365582018,0.8511319035973735
314,14,0.9425637156073429,0.9434626078474102,0.9521326851991916,0.8511319035973735
315,15,0.9475228495563695,0.9436897510787206,0.9544341500864069,0.8511319035973735
316,16,0.9447580364079872,0.9410205279104555,0.9534386485964617,0.8511319035973735
317,17,0.9443250974847517,0.9438916739260454,0.9534169270060865,0.8511319035973735
318,18,0.9404397501511742,0.9411151204137643,0.9502311245038084,0.8511319035973735
319,19,0.9433051542851214,0.9416774811889349,0.9523030771918116,0.8511319035973735
320,20,0.9456250093168005,0.9452357499490999,0.9562291004256247,0.8511319035973735
321,21,0.9469835779953812,0.9445399294158161,0.9536761058461988,0.8511319035973735
322,22,0.9450995384348064,0.9420987948751991,0.9544611367109713,0.8511319035973735
323,23,0.9455503197088957,0.9434633536366757,0.9533455622948679,0.8511319035973735
324,24,0.9455363030800209,0.9459608886068622,0.9543162826149794,0.8511319035973735
325,25,0.947770281539127,0.9474507542689672,0.9565368932297307,0.8511319035973735
326,26,0.9436447128655018,0.9440084889016193,0.9551465341655261,0.8511319035973735
327,27,0.9463085896817762,0.947852089787519,0.9542565902787838,0.8511319035973735
328,28,0.9470773627479507,0.9473208841019515,0.9578445554971251,0.8511319035973735
329,29,0.947062415980423,0.9467920076670597,0.9570969202994364,0.8511319035973735
330,30,0.9524451804496489,0.9498065951615167,0.9603868078769477,0.8511319035973735
331,31,0.9508061029579967,0.9479684847412809,0.9588723774668486,0.8511319035973735
332,32,0.9447552211714245,0.946250576213387,0.9526599988200192,0.8511319035973735
333,33,0.9494188702916435,0.9481861453035124,0.9589722443932451,0.8511319035973735
334,34,0.9452688343132952,0.941769547661956,0.9501106075760176,0.8511319035973735
335,35,0.9487446608231102,0.946083723508974,0.9583709071125877,0.8511319035973735
336,36,0.945108907119266,0.9443396114549536,0.9530947359746359,0.8511319035973735
337,37,0.9450691896480964,0.9431013348673161,0.9534416816250728,0.8511319035973735
338,38,0.9412578338071286,0.943354755407449,0.9500259066054283,0.8511319035973735
339,39,0.9491224791133469,0.9472173208184148,0.9583571450868736,0.8511319035973735
340,40,0.9462541793865702,0.9465901234672942,0.9548839435399794,0.8511319035973735
341,41,0.9482834129094517,0.9490473226326042,0.9546647636975333,0.8511319035973735
342,42,0.9498300880112033,0.9496267444226102,0.957218192523083,0.8511319035973735
343,43,0.9454870284793309,0.9463973017779728,0.9554979573320466,0.8511319035973735
344,44,0.9463219829628383,0.9422779419913763,0.9537443992669039,0.8511319035973735
345,45,0.9459293827503219,0.9470878671067502,0.9583654220724946,0.8511319035973735
346,46,0.9463243072989401,0.9465127902495087,0.9550895910653003,0.8511319035973735
347,47,0.9417623316585686,0.9391522564137351,0.9497328849696541,0.8511319035973735
348,48,0.9436800543572192,0.9397056837312272,0.9523493865690306,0.8511319035973735
349,49,0.9477429171525227,0.945369010925878,0.9581529386135577,0.8511319035973735
350,50,0.9458879746579725,0.9473685194955844,0.9549867377796508,0.8511319035973735
351,51,0.9468286043058933,0.9462308012226481,0.9562485312643246,0.8511319035973735
352,52,0.94667477197951,0.9458534540096587,0.9533362437050025,0.8511319035973735
353,53,0.948283575284468,0.9476916980773087,0.9547267342867352,0.8511319035973735
354,54,0.949075307022578,0.9479029113450383,0.9558817596152039,0.8511319035973735
355,55,0.943247871489975,0.9460397691690511,0.9538995437327163,0.8511319035973735
356,56,0.9434139760047868,0.9426002034336118,0.9543200746244502,0.8511319035973735
357,57,0.9489612982092993,0.9491142425329624,0.9584717676460957,0.8511319035973735
358,58,0.9400093658257995,0.9425822072656527,0.9540543295646678,0.8511319035973735
359,59,0.9476619355076077,0.9455146158651422,0.9564318663258576,0.8511319035973735
360,60,0.9482883925699732,0.9469937523947888,0.955342259934357,0.8511319035973735
361,61,0.9372178201198939,0.9393245443030418,0.9472800306933625,0.8511319035973735
362,62,0.9462441704406974,0.9441178408595264,0.95754297568286,0.8511319035973735
363,63,0.9459304539821554,0.945364896211195,0.9530518055871668,0.8511319035973735
364,64,0.9502446408885856,0.9495313942129919,0.9572910863407651,0.8511319035973735
365,65,0.9415637634941733,0.9419678753025443,0.9524108539386048,0.8511319035973735
366,66,0.9450967776118201,0.94302163706973,0.9518722483172777,0.8511319035973735
367,67,0.9488307381217125,0.9452299623171116,0.9566663336581908,0.8511319035973735
368,68,0.9449545187285563,0.9436128922053426,0.9514412754006698,0.8511319035973735
369,69,0.9421043418031143,0.9425195486441749,0.9524507646598945,0.8511319035973735
370,70,0.9512474580453204,0.9474051302673454,0.9603042033931756,0.8511319035973735
371,71,0.9434865009360789,0.9411829036461927,0.9539786927466163,0.8511319035973735
372,72,0.9497788009055672,0.9466074185939315,0.9593666718350001,0.8511319035973735
373,73,0.9419256990021837,0.938440443111975,0.9487883773960328,0.8511319035973735
374,74,0.9460853118028475,0.9464548758532096,0.9510326117155201,0.8511319035973735
375,75,0.9479830101113619,0.9490772896706345,0.9548462620637317,0.8511319035973735
376,76,0.9395975104190748,0.9420122656936276,0.9510109064817082,0.8511319035973735
377,77,0.9516481836916932,0.9478829174397225,0.9589465564939329,0.8511319035973735
378,78,0.939910920794269,0.939658624912508,0.9468435019663434,0.8511319035973735
379,79,0.9431636821773494,0.9412804000169244,0.9528016091552857,0.8511319035973735
380,80,0.9478605766261856,0.9483069525969504,0.9559290632217832,0.8511319035973735
381,81,0.9475495623382639,0.9462118793367287,0.9549747046176204,0.8511319035973735
382,82,0.9482830291928978,0.9466200214454923,0.9533674874797115,0.8511319035973735
383,83,0.9497387271229965,0.9507224750100359,0.957094630604685,0.8511319035973735
384,84,0.9534826670673061,0.9544913820425965,0.9615177788164273,0.8511319035973735
385,85,0.9409888230711257,0.9435986485266029,0.9525631298645543,0.8511319035973735
386,86,0.9440284231571398,0.9433136617802792,0.9510961366847415,0.8511319035973735
387,87,0.9413039621388539,0.9376823509546983,0.9495005345710845,0.8511319035973735
388,88,0.9451173070037163,0.9426992370251586,0.9525159657322583,0.8511319035973735
389,89,0.9388480334958463,0.9401738512157191,0.9478729270355997,0.8511319035973735
390,90,0.9401530854740007,0.9377394974702817,0.9490815718240485,0.8511319035973735
391,91,0.9507040984813675,0.949096597465048,0.9596097512226939,0.8511319035973735
392,92,0.948566763852147,0.9484204561622263,0.9559565308722342,0.8511319035973735
393,93,0.9418406437935577,0.9417351910868104,0.9518266863296299,0.8511319035973735
394,94,0.9466241531930916,0.9451802146940749,0.9527181349795262,0.8511319035973735
395,95,0.9498252005581449,0.9474468538054103,0.9577842189667267,0.8511319035973735
396,96,0.9425237680589551,0.9404263089167987,0.9498842335201886,0.8511319035973735
397,97,0.9486599209515388,0.9491858300080598,0.9568270808841832,0.8511319035973735
398,98,0.9438778619399617,0.9430578530313997,0.9556355753265627,0.8511319035973735
