seed,mean_edge_density,std_edge_density,mean_jaccard_overlap,stationary_reference_ap
42,0.09994598662207357,0.0012817042124584751,0.7716930739412504,0.9457021151081927
43,0.09980780379041249,0.0010845132361983465,0.7716405172683616,0.9458836467929934
44,0.09974303232998886,0.0014126218894680814,0.7713693206942124,0.945591527709685
45,0.1000571348940914,0.0012193085811499993,0.7720765176893556,0.9464076751389812
46,0.09971070234113713,0.0013713637526661156,0.7720022186552222,0.9461399359212922
47,0.09995680044593089,0.0015512988649553615,0.7717336933309294,0.9461989877928182
48,0.10024169453734671,0.0016741474058424794,0.7716378853005695,0.9458484706093002
49,0.09967982162764771,0.0012941300051535277,0.7715907154648751,0.9458401913322984
50,0.09997998885172799,0.0013445403984964366,0.7717128771470765,0.9459292840361933
51,0.09990958751393535,0.001485166440001488,0.7718329381721849,0.9456115954571905
