seed,regime_A_density,regime_B_density,density_diff,regime_A_overlap,regime_B_overlap
42,0.100052508361204,0.0998185061315496,0.00023400222965438977,0.7718024087738676,0.16337578639880485
43,0.0999176142697882,0.0998526198439242,6.499442586399562e-05,0.7719731545206263,0.16304566205903484
44,0.09975763656633223,0.10007380156075808,0.0003161649944258549,0.771377755508532,0.16316703791245465
45,0.09982218506131549,0.09997982162764771,0.0001576365663322199,0.7715481120320241,0.16296325002810602
46,0.09935785953177259,0.10014860646599777,0.0007907469342251783,0.7717789914872893,0.16338743871981706
47,0.10010434782608696,0.09981661092530658,0.0002877369007803776,0.7715191492981094,0.16293937452454238
48,0.09999598662207358,0.10005418060200669,5.8193979933104933e-05,0.7714750154558491,0.16322698401306726
49,0.10001415830546266,0.10003812709030101,2.3968784838346302e-05,0.7718790245314757,0.16362493839457254
50,0.09964983277591972,0.10000356744704572,0.00035373467112599644,0.7713458270497532,0.16325332630415054
51,0.10040479375696769,0.09998327759197326,0.00042151616499443156,0.7725483327019904,0.1634305113834463
