seed,b_duration,tgn_ap,oracle_ap,gap
42,10,0.6520349349832343,0.7893487802475403,0.137313845264306
42,25,0.6513657723260456,0.7877890596462461,0.13642328732020048
42,50,0.6232170612800354,0.7874142881981852,0.16419722691814975
42,100,0.5019168449643803,0.7875759107558216,0.2856590657914413
42,200,0.5064009511200245,0.7869853146144885,0.28058436349446403
43,10,0.6016247908879212,0.7899739791620366,0.1883491882741154
43,25,0.5839597923027033,0.7884522322887575,0.20449243998605415
43,50,0.527802162742141,0.7879916091413713,0.26018944639923036
43,100,0.5407940385511372,0.7851488793372763,0.24435484078613912
43,200,0.5081513587150839,0.7888745938000744,0.28072323508499053
44,10,0.6492034395273504,0.7888376317103594,0.139634192183009
44,25,0.6469886701321848,0.785142604431423,0.13815393429923828
44,50,0.6024505032230414,0.7899970964688687,0.18754659324582734
44,100,0.511719060373127,0.7906213654334407,0.27890230506031377
44,200,0.510528289380056,0.7857961094839144,0.2752678201038584
45,10,0.6474592453461996,0.7889660680240753,0.14150682267787573
45,25,0.608626001099033,0.7877419335775343,0.17911593247850133
45,50,0.5074341572331368,0.7882484820668201,0.2808143248336833
45,100,0.5218354938003793,0.7859101043169943,0.26407461051661496
45,200,0.5085399899816223,0.7857649112970673,0.27722492131544496
46,10,0.5035545725814277,0.787798371278126,0.28424379869669836
46,25,0.6480931675151483,0.7873258241167749,0.13923265660162654
46,50,0.5465394133752006,0.7902499762974995,0.24371056292229887
46,100,0.5182307982560317,0.7859676158234512,0.2677368175674195
46,200,0.5058815645944954,0.7841917381028487,0.2783101735083533
47,10,0.5060063536283322,0.7880136726282592,0.2820073189999269
47,25,0.6489510302371337,0.7891818694349011,0.14023083919776735
47,50,0.5138766622923467,0.7891114004376814,0.2752347381453346
47,100,0.5123088092538537,0.7852550990446326,0.27294628979077895
47,200,0.5115774289786813,0.7857640134480721,0.2741865844693908
48,10,0.5065982417591923,0.7898102531480005,0.28321201138880814
48,25,0.5438891355180374,0.786085682519843,0.2421965470018056
48,50,0.4994547280713163,0.7875593084437562,0.2881045803724399
48,100,0.6161118126672329,0.7849543695959261,0.1688425569286932
48,200,0.5071178927895102,0.7888517847390903,0.2817338919495801
49,10,0.6396470690626438,0.7886682530894051,0.14902118402676134
49,25,0.5723853605455662,0.7874749203940141,0.2150895598484479
49,50,0.5576023089918735,0.7869645244470082,0.2293622154551347
49,100,0.5249443226392897,0.7875172216221051,0.26257289898281544
49,200,0.5065283939244775,0.7872497240302948,0.28072133010581735
50,10,0.6509536732330286,0.7881738884886986,0.13722021525567007
50,25,0.649801770810152,0.7881561778276868,0.13835440701753476
50,50,0.6161810106996992,0.790094324008542,0.17391331330884274
50,100,0.5436630554847578,0.7885423768826054,0.24487932139784763
50,200,0.5109672855648093,0.7898222898861289,0.2788550043213196
51,10,0.6503126819913068,0.7866006067460701,0.13628792475476337
51,25,0.6241615151090245,0.7879228424042947,0.16376132729527015
51,50,0.5939757980679422,0.7862031329355502,0.192227334867608
51,100,0.559954718756073,0.787016941065963,0.22706222230988993
51,200,0.5061345868533771,0.7885432443180134,0.2824086574646363
