seed,experiment,ap_pre_drift,ap_post_drift,ap_late_drift,adaptation_gain
42,exp2_drift,0.6556304109522837,0.5021178867341776,0.5017219726959585,-0.00039591403821903626
43,exp2_drift,0.6506368796062828,0.5030172608869464,0.5028158398249202,-0.00020142106202625243
44,exp2_drift,0.6504119838377835,0.5062900359394116,0.5031388461902484,-0.0031511897491631746
45,exp2_drift,0.649410936257889,0.502357169103565,0.5013620068797949,-0.000995162223770052
46,exp2_drift,0.6504224519170895,0.5015985101781464,0.5008612565695053,-0.0007372536086410753
47,exp2_drift,0.6530736590273732,0.5036832022575047,0.5035687454037181,-0.0001144568537866375
48,exp2_drift,0.6498011747267797,0.5015106620698362,0.5000825273186118,-0.0014281347512243858
49,exp2_drift,0.6557964286303801,0.5029670096334483,0.5014839769190349,-0.0014830327144134126
50,exp2_drift,0.6541877082692789,0.5046076227518381,0.5035688822483816,-0.0010387405034565367
51,exp2_drift,0.6545487756158376,0.5027570522679066,0.5008366168902326,-0.0019204353776739458
