seed,tgn_ap_ABA,tgn_ap_ABC,tgn_ap_ABCA
42,0.5023998107811127,0.5026242194306054,0.5033242019172908
43,0.5032314111124666,0.5010963058055317,0.5030890576746931
44,0.5051434065630976,0.5025455089019474,0.5033927642262219
45,0.5041225014718682,0.5034199070405627,0.4988435010745368
46,0.502400973589259,0.5020067724054773,0.5016815861329943
47,0.50728623596128,0.501446636923037,0.5462131834609341
48,0.5035940383205209,0.5033394506484652,0.4995671992510482
49,0.5032592217583056,0.5026840479582013,0.5016834920326011
50,0.5029687151533447,0.5017695477674734,0.5172055173185587
51,0.5051314486016025,0.5017712711329657,0.5033303789345916
