experiment,seed,memory_dim,T_B,model,condition,AP,AUC,precision,recall,recovery_latency,HR,HG,MH,AP_t0,AP_t10,AP_t25,AP_t50,AP_t100,parameter_count,learning_rate,epochs
phase2_1_capacity_grid,42,16,10,TGN,dm_16_tb_10,0.5075974166947266,0.5079558752217518,0.5035366925186581,0.7374386148020285,100,-49240257.237173975,-0.4924025833052732,-0.4924025833052732,0.5071412850175663,0.5132780542654887,0.5063840689926338,0.5066343360340183,0.5163946827983762,23553,0.005,15
phase2_1_capacity_grid,43,16,10,TGN,dm_16_tb_10,0.5028428862525314,0.5035899808579396,0.5011440355342305,0.5733349373540787,100,-49715711.37474686,-0.4971571137474686,-0.4971571137474686,0.5150944876739183,0.4943644044974883,0.4988390849292723,0.49935101734344234,0.5078744478278892,23553,0.005,15
phase2_1_capacity_grid,44,16,10,TGN,dm_16_tb_10,0.6464075977940664,0.6774539336713274,0.5785456038779602,0.8002374572031283,0,-35359240.220593356,-0.3535924022059336,-0.3535924022059336,0.6006493522183686,0.6459050490808697,0.6462605566296811,0.6429011964545229,0.6455291775105341,23553,0.005,15
phase2_1_capacity_grid,45,16,10,TGN,dm_16_tb_10,0.5021249421359957,0.5034101180357591,0.5042139732130875,0.2509115922477928,100,-49787505.78640043,-0.4978750578640043,-0.4978750578640043,0.5054118884603735,0.49975369314847284,0.5044432173709689,0.4977780299470967,0.5108895605528214,23553,0.005,15
phase2_1_capacity_grid,46,16,10,TGN,dm_16_tb_10,0.6531237799337007,0.6841437885124109,0.5859187771228707,0.7875024275041239,0,-34687622.00662992,-0.34687622006629926,-0.34687622006629926,0.5970096635560953,0.6568571006439916,0.6458718150848238,0.6531015976143919,0.6443719860660893,23553,0.005,15
phase2_1_capacity_grid,42,16,25,TGN,dm_16_tb_25,0.62526684971772,0.652774555920746,0.5911579279545034,0.7682740635900637,0,-37473315.02822801,-0.37473315028228005,-0.37473315028228005,0.5760155616836146,0.6306534738785767,0.6278343956913371,0.631851332600731,0.6338705504472636,23553,0.005,15
phase2_1_capacity_grid,43,16,25,TGN,dm_16_tb_25,0.6528406006231622,0.6844520059511714,0.5807502253464499,0.7983663735945352,0,-34715939.93768378,-0.3471593993768378,-0.3471593993768378,0.6059112554651674,0.6583131818502903,0.6483012867191835,0.6659331497612718,0.653320367418437,23553,0.005,15
phase2_1_capacity_grid,44,16,25,TGN,dm_16_tb_25,0.6496686288200361,0.6807484344277264,0.6059093477934285,0.7549923451821445,0,-35033137.117996395,-0.35033137117996394,-0.35033137117996394,0.5982136618900308,0.6455861484534391,0.6604280397732212,0.6573161394860874,0.6501636419886992,23553,0.005,15
phase2_1_capacity_grid,45,16,25,TGN,dm_16_tb_25,0.652759760139209,0.6846831354016563,0.6839768309060624,0.6707618459728261,0,-34724023.9860791,-0.347240239860791,-0.347240239860791,0.6025095265084053,0.6618464541666318,0.6455613549893203,0.6600357984921486,0.6575637617075818,23553,0.005,15
phase2_1_capacity_grid,46,16,25,TGN,dm_16_tb_25,0.629871617619658,0.6703656178784916,0.5957107503345326,0.773109055880131,0,-37012838.238034196,-0.37012838238034196,-0.37012838238034196,0.5800305669515723,0.6219316693135485,0.6337830364765802,0.634061907479913,0.6204570805599992,23553,0.005,15
phase2_1_capacity_grid,42,16,50,TGN,dm_16_tb_50,0.6265346300374253,0.653245887445373,0.5622038929823505,0.8106691300863681,0,-37346536.99625747,-0.37346536996257473,-0.37346536996257473,0.5906413469146504,0.6392412953903805,0.6307875085200162,0.6247019395994222,0.6369916486309383,23553,0.005,15
phase2_1_capacity_grid,43,16,50,TGN,dm_16_tb_50,0.5283583733976597,0.5737796148518054,0.5479400519265795,0.7576127626514739,100,-47164163.707488865,-0.47164162660234055,-0.47164162660234055,0.5134596164391038,0.5266091515709355,0.5281837495714499,0.529070844973573,0.5228115037131624,23553,0.005,15
phase2_1_capacity_grid,44,16,50,TGN,dm_16_tb_50,0.6249122948086014,0.6670298862052595,0.6160321282118807,0.7302364887463823,0,-37508770.519139856,-0.37508770519139856,-0.37508770519139856,0.5843445911706348,0.6212126056065037,0.6291013802168732,0.6355234196371853,0.6224219604759618,23553,0.005,15
phase2_1_capacity_grid,45,16,50,TGN,dm_16_tb_50,0.6393933345584069,0.6652241277154454,0.621621345516138,0.677843676337565,0,-36060666.14380548,-0.36060666544159303,-0.36060666544159303,0.5896511656482927,0.6428857858545793,0.6423727427280617,0.651076086718712,0.6476719351294051,23553,0.005,15
phase2_1_capacity_grid,46,16,50,TGN,dm_16_tb_50,0.5176790386296274,0.5172046754639539,0.5058840148698884,0.7591771064388141,100,-48232096.13703726,-0.4823209613703726,-0.4823209613703726,0.5119409924130688,0.5204100023018252,0.5201297987995036,0.5189055644681081,0.5142938589892807,23553,0.005,15
